index,city_state,count_crimes,lat,lng,population
"225","Belmar, NJ",2,40.1798,-74.0255,5545
"226","Belmont, CA",2,37.5154,-122.2955,26941
"227","Beloit, KS",1,39.4645,-98.1083,3625
"228","Beloit, WI",4,42.523,-89.0184,63762
"229","Belton, MO",7,38.8193,-94.5334,23642
"230","Belton, SC",3,34.5237,-82.4937,5865
"231","Belvidere, NJ",1,40.8294,-75.0728,3707
"232","Bemidji, MN",5,47.4828,-94.8796,16807
"233","Benbrook, TX",1,32.6787,-97.4638,23502
"234","Bend, OR",11,44.0562,-121.3087,109802
"235","Benicia, CA",2,38.0725,-122.1525,28240
"236","Bennettsville, SC",2,34.6303,-79.6874,11086
"237","Benson, MN",2,45.3152,-95.6058,3043
"238","Benson, NC",1,35.386,-78.5436,3922
"239","Benton Harbor, MI",11,42.1159,-86.4488,59216
"240","Benton, AR",9,34.5775,-92.5712,36820
"241","Benton, KY",3,36.8512,-88.3594,4563
"242","Benton, TN",1,35.1749,-84.6516,1278
"243","Bentonville, AR",6,36.3546,-94.2306,54909
"244","Berea, KY",10,37.5904,-84.2898,18423
"245","Berea, OH",1,41.3696,-81.8642,18609
"246","Beresford, SD",2,43.0797,-96.7802,2026
"247","Bergenfield, NJ",5,40.9236,-73.9983,27327
"248","Berkeley, CA",86,37.8723,-122.276,121363
"249","Berkley, MI",6,42.4986,-83.1853,15366
"250","Berlin, NJ",1,39.7915,-74.9375,7536
"251","Berlin, WI",1,43.9704,-88.9505,5385
"252","Bernice, LA",1,32.8276,-92.6584,1594
"253","Berryville, AR",1,36.3713,-93.5704,5550
"254","Berthoud, CO",1,40.307,-105.0419,9094
"255","Berwyn, IL",9,41.8433,-87.7909,54391
"256","Bethany Beach, DE",1,38.5391,-75.066,1245
"257","Bethany, OK",1,35.5072,-97.6417,19221
"258","Bethel Springs, TN",2,35.2341,-88.6131,727
"259","Bethlehem, PA",2,40.6266,-75.3679,75815
"260","Bettendorf, IA",7,41.5656,-90.4764,36543
"261","Beulah, ND",2,47.2665,-101.7733,3139
"262","Beverly Hills, CA",25,34.0786,-118.4021,33792
"263","Beverly Hills, MI",5,42.522,-83.2423,10352
"264","Beverly, MA",14,42.5681,-70.8627,42174
"265","Beverly, NJ",1,40.0652,-74.9221,2479
"266","Bexley, OH",4,39.965,-82.9343,13770
"267","Biddeford, ME",13,43.4674,-70.4512,21504
"268","Big Rapids, MI",1,43.6992,-85.4806,13921
"269","Big Stone Gap, VA",1,36.8626,-82.7769,7533
"270","Billings, MT",43,45.7891,-108.5524,120728
"271","Biloxi, MS",5,30.4422,-88.9512,46212
"272","Binghamton, NY",6,42.1014,-75.9093,148145
"273","Birmingham, AL",18,33.5277,-86.7987,739573
"274","Birmingham, MI",15,42.5447,-83.2166,21389
"275","Bishop, CA",1,37.3665,-118.3958,9597
"276","Bismarck, ND",44,46.8144,-100.7694,98345
"277","Bixby, OK",2,35.9454,-95.8773,27944
"278","Black Diamond, WA",1,47.313,-122.0181,4781
"279","Black Mountain, NC",3,35.6142,-82.3275,8162
"280","Blackfoot, ID",1,43.194,-112.3455,15526
"281","Blacksburg, SC",3,35.1221,-81.5182,1880
"282","Blacksburg, VA",3,37.23,-80.4279,91888
"283","Blackstone, VA",2,37.0821,-78.0029,3329
"284","Blackville, SC",1,33.3552,-81.2835,2189
"285","Blackwell, OK",1,36.8011,-97.3008,6562
"286","Blaine, MN",27,45.1696,-93.2077,65607
"287","Blanchard, OK",2,35.1523,-97.6613,8907
"288","Blanco, TX",1,30.0987,-98.4169,2071
"289","Blissfield, MI",1,41.8311,-83.8635,3266
"290","Bloomfield Hills, MI",4,42.578,-83.2456,3997
"291","Bloomingdale, NJ",2,41.03,-74.3319,8061
"292","Bloomington, IL",6,40.4757,-88.9703,133846
"293","Bloomington, IN",93,39.1637,-86.5257,115884
"294","Bloomington, MN",2,44.8306,-93.3151,84943
"295","Blue Ash, OH",9,39.248,-84.3827,12372
"296","Blue Island, IL",1,41.6578,-87.6812,22899
"297","Blue Springs, MO",8,39.0124,-94.2721,55829
"298","Bluff City, TN",1,36.4589,-82.2769,1670
"299","Bluffdale, UT",2,40.4744,-111.9381,16358
"300","Bluffton, SC",2,32.2135,-80.9316,25557
"301","Blythe, CA",1,33.622,-114.6188,19682
"302","Boardman, OH",15,41.0334,-80.6671,34431
"303","Boardman, OR",2,45.8372,-119.6957,3913
"304","Boca Raton, FL",9,26.3752,-80.108,99805
"305","Bogota, NJ",1,40.875,-74.0293,8335
"306","Boise, ID",87,43.6007,-116.2312,389280
"307","Bolivar, MO",3,37.6057,-93.4174,11067
"308","Bolivar, TN",3,35.2645,-89.0118,4936
"309","Bonner Springs, KS",2,39.0817,-94.8776,7906
"310","Bonney Lake, WA",1,47.1791,-122.17,21148
"311","Boone, IA",1,42.053,-93.877,12513
"312","Boone, NC",5,36.2111,-81.6668,26146
"313","Boonton, NJ",8,40.9047,-74.4048,8919
"314","Borger, TX",3,35.6598,-101.4012,12718
"315","Bossier City, LA",1,32.5227,-93.6666,68159
"316","Boston, MA",1282,42.3188,-71.0846,4688346
"317","Bothell, WA",13,47.7735,-122.2044,47415
"318","Boulder City, NV",1,35.8407,-114.9257,16207
"319","Boulder, CO",14,40.0249,-105.2523,124345
"320","Bound Brook, NJ",1,40.5676,-74.5383,10180
"321","Bountiful, UT",30,40.8722,-111.8647,43981
"322","Bowie, MD",3,38.9569,-76.7409,58643
"323","Bowling Green, KY",89,36.9719,-86.4373,95135
"324","Bowling Green, OH",6,41.3773,-83.65,32249
"325","Box Elder, SD",2,44.1121,-103.0827,10228
"326","Boyne City, MI",5,45.2135,-85.0131,3729
"327","Boynton Beach, FL",2,26.5281,-80.0811,78679
"328","Bozeman, MT",3,45.6832,-111.0552,57695
"329","Bradley Beach, NJ",4,40.2018,-74.0128,4148
"330","Bradley, IL",4,41.1641,-87.8452,15314
"331","Braidwood, IL",1,41.2696,-88.2235,22670
"332","Brainerd, MN",1,46.3553,-94.1982,19583
"333","Braintree, MA",31,42.2039,-71.0022,37190
"334","Brandon, MS",2,32.2778,-89.9896,24289
"335","Brandon, SD",1,43.5928,-96.5799,10074
"336","Branson, MO",4,36.651,-93.2635,25033
"337","Brea, CA",3,33.9254,-117.8656,43255
"338","Breckenridge Hills, MO",1,38.7158,-90.3685,4566
"339","Breckenridge, CO",5,39.4995,-106.0433,7818
"340","Breckenridge, TX",1,32.7566,-98.9125,5478
"341","Brecksville, OH",1,41.3079,-81.6193,13604
"342","Bremerton, WA",7,47.5436,-122.7122,218400
"343","Brenham, TX",5,30.1585,-96.3964,17863
"344","Brentwood, CA",17,37.9355,-121.7191,64474
"345","Brevard, NC",1,35.2439,-82.7264,13666
"346","Brewer, ME",1,44.7835,-68.7352,9035
"347","Briarcliffe Acres, SC",1,33.7899,-78.749,593
"348","Bridgeport, CT",55,41.1918,-73.1953,924449
"349","Bridgeport, TX",1,33.21,-97.7708,6653
"350","Bridgeport, WV",1,39.3036,-80.2477,8842
"351","Bridgeton, MO",2,38.7673,-90.4275,11520
"352","Bridgeton, NJ",12,39.4286,-75.2281,33379
"353","Bridgewater, MA",1,41.9728,-70.9749,27619
"354","Brielle, NJ",2,40.1048,-74.0636,4666
"355","Brier, WA",1,47.7924,-122.2734,6970
"356","Brigantine, NJ",1,39.4138,-74.3787,8650
"357","Brigham City, UT",9,41.5034,-112.0454,19601
"358","Brighton, CO",3,39.9716,-104.7964,41554
"359","Brighton, MI",1,42.5298,-83.7847,7656
"360","Brighton, TN",3,35.4812,-89.7354,2908
"361","Brisbane, CA",2,37.6898,-122.402,4671
"362","Bristol, CT",10,41.6812,-72.9407,59947
"363","Bristol, TN",16,36.5572,-82.2154,70243
"364","Bristol, VA",3,36.618,-82.1606,16762
"365","Bristow, OK",1,35.8338,-96.3941,4200
"366","Brockton, MA",7,42.0821,-71.0242,95708
"367","Broken Arrow, OK",1,36.0365,-95.7809,110198
"368","Broken Bow, OK",1,34.0277,-94.7419,4216
"369","Bronson, MI",1,41.8727,-85.1914,2303
"370","Brookings, SD",8,44.3022,-96.7859,24887
"371","Brooklawn, NJ",1,39.8788,-75.1207,1898
"372","Brooklyn Center, MN",2,45.0681,-93.3162,30690
"373","Brooklyn Park, MN",43,45.1112,-93.3505,80389
"374","Broomfield, CO",2,39.9541,-105.0527,70465
"375","Brown City, MI",1,43.2115,-82.9879,1250
"376","Brownsville, KY",1,37.1952,-86.2691,826
"377","Brownsville, TN",4,35.589,-89.2578,9435
"378","Brownsville, TX",1,25.998,-97.4565,227239
"379","Brownwood, TX",4,31.7127,-98.9767,21729
"380","Brunswick, OH",1,41.2464,-81.8198,34880
"381","Bryan, TX",2,30.6657,-96.3668,86276
"382","Bryant, AR",3,34.6152,-92.4914,20968
"383","Buchanan, MI",5,41.8283,-86.3657,4263
"384","Buckeye, AZ",4,33.4314,-112.6429,79620
"385","Buckhannon, WV",10,38.9927,-80.2282,8351
"386","Bucyrus, OH",1,40.8054,-82.9719,11800
"387","Buellton, CA",1,34.6152,-120.1943,5102
"388","Buena Park, CA",15,33.8572,-118.0046,81788
"389","Buena Vista, CO",1,38.832,-106.1386,4910
"390","Buena, NJ",2,39.5282,-74.9448,4284
"391","Buffalo, NY",153,42.9016,-78.8487,914341
"392","Burbank, CA",45,34.1879,-118.3235,102511
"393","Burbank, IL",1,41.7444,-87.7686,28289
"394","Burien, WA",16,47.4762,-122.3394,51500
"395","Burkburnett, TX",4,34.0746,-98.5672,11270
"396","Burkesville, KY",1,36.7906,-85.3674,1464
"397","Burleson, TX",5,32.517,-97.3343,48225
"398","Burlington, KS",2,38.1932,-95.7452,2543
"399","Burlington, NC",3,36.0758,-79.4686,131043
"400","Burlington, VT",40,44.4877,-73.2314,109763
"401","Burlington, WA",2,48.4676,-122.3298,9224
"402","Burlington, WI",1,42.6746,-88.2723,24691
"403","Burnet, TX",1,30.7496,-98.2383,6406
"404","Burnettown, SC",1,33.5186,-81.8634,2747
"405","Burns, TN",1,36.0507,-87.2983,1456
"406","Burnsville, MN",2,44.7648,-93.2795,61339
"407","Burton, MI",14,42.9974,-83.6175,28574
"408","Butler, NJ",2,40.9989,-74.3471,7654
"409","Byram, MS",45,32.189,-90.2861,11428
"410","Byrnes Mill, MO",1,38.4395,-90.5741,3002
"411","Cabot, AR",1,34.9768,-92.0274,26352
